level,term,minecraft_sentence,minecraft_translation
1,fine,"The weather is **fine**, no rain today.",天氣很**好**，今天沒有下雨。
1,five,I have **five** emeralds to trade.,我有**五**顆綠寶石可以交易。
1,food,Cook your **food** in the furnace.,在熔爐裡烹飪你的**食物**。
1,four,One log makes **four** planks.,一根原木可以做成**四**塊木板。
1,girl,Alex is the default **girl** skin.,艾力克斯是預設的**女孩**外觀。
1,go,Let's **go** to the Nether.,我們**去**下界吧。
1,good,Golden apples give **good** effects.,金蘋果會給予**好的**效果。
1,great,This is a **great** place for a base.,這是一個蓋基地的**絕佳**地點。
1,he,**He** is wearing diamond armor.,**他**穿著鑽石盔甲。
1,here,Place the torch right **here**.,把火把剛好插在**這裡**。
1,home,Use a compass to find your way **home**.,使用指南針找到回**家**的路。
1,hot,Lava is very **hot**.,岩漿非常**熱**。
1,how,**How** do I craft a sword?,我**如何**製作一把劍？
1,I,**I** want to fight the Ender Dragon.,**我**想要挑戰終界龍。
1,in,Put the diamonds **in** the chest.,把鑽石放**進**箱子裡。
1,is,This **is** my first survival world.,這**是**我的第一個生存世界。
1,it,Hit the button to activate **it**.,按下按鈕來啟動**它**。
1,job,Every villager has a specific **job**.,每個村民都有一份特定的**工作**。
1,jog,You can **jog** across the infinite plains.,你可以慢跑穿過這片無盡的平原。
1,kid,The **kid** villager plays tag.,**小孩**村民在玩鬼抓人。
1,king,There is no **king** in the village.,村莊裡沒有**國王**。
1,leg,Leggings protect your **leg**.,護腿保護你的**腿**。
1,lion,I wish there was a **lion** in the savanna.,我希望莽原生態域裡有**獅子**。
1,love,Villagers show hearts when they **love** each other.,當村民彼此**相愛**時會出現愛心。
1,lunch,Eat some steak for **lunch**.,吃些牛排當**午餐**。
1,man,The wandering trader is a strange **man**.,流浪商人是一個奇怪的**男人**。
1,milk,Drink **milk** to remove poison.,喝**牛奶**來移除中毒狀態。
1,Miss,We don't say **Miss** to a witch.,我們不稱呼女巫為**小姐**。
1,moon,The **moon** rises and monsters spawn.,**月亮**升起，怪物生成。
1,Mr.,"Hello **Mr.** Villager, trade with me.",你好，村民**先生**，跟我交易吧。
1,Mrs.,Is there a **Mrs.** Farmer?,有農夫**太太**嗎？
1,Ms.,"Not **Ms.**, just Alex.",不是**女士**，只是艾力克斯。
1,name,Use a tag to give your pet a **name**.,使用命名牌給你的寵物一個**名字**。
1,neck,The Enderman has a long **neck**.,終界使者有長長的**脖子**。
1,new,Create a **new** world.,創造一個**新的**世界。
1,nice,That is a **nice** skin you have.,你只有一個**很棒的**外觀皮膚。
1,nine,The hotbar has **nine** slots.,快捷欄有**九**個格子。
1,no,There are **no** diamonds here.,這裡**沒有**鑽石。
1,nose,The villager has a big **nose**.,村民有個大**鼻子**。
1,not,Do **not** dig straight down!,**不要**垂直向下挖！
1,now,Sleep **now** to skip the night.,**現在**睡覺來跳過夜晚。
1,OK,Is it **OK** to steal from the village?,偷拿村莊的東西是**可以的**嗎？
1,one,You only have **one** life in Hardcore mode.,在極限模式中你只有**一**條命。
1,or,Do you want a sword **or** a pickaxe?,你想要劍**還是**鎬？
1,pen,"We use a feather, not a **pen**, to write.",我們用羽毛，而不是**原子筆**來寫字。
1,pet,My **pet** wolf follows me everywhere.,我的**寵物**狼到處跟著我。
1,picture,Hang a **picture** on the wall for decoration.,在牆上掛一幅**畫**當作裝飾。
1,pie,Pumpkin **pie** restores hunger.,南瓜**派**可以恢復飢餓值。
1,pig,Put a saddle on the **pig** to ride it.,在**豬**身上放鞍來騎牠。
1,red,Redstone dust is **red**.,紅石粉是**紅色的**。
1,room,Build a secret **room** for your treasures.,為你的寶藏蓋一間秘密**房間**。
1,run,**Run** away from the Creeper!,快**跑**離苦力怕遠一點！
1,sad,The ghast makes a **sad** sound.,惡魂發出**悲傷的**聲音。
1,say,Use chat to **say** hello.,使用聊天欄來**說**你好。
1,seven,Level **seven** is not enough for this enchantment.,**七**等對這個附魔來說不夠。
1,she,**She** built a castle in the sky.,**她**在空中蓋了一座城堡。
1,sit,Right-click the wolf to make it **sit**.,對狼點右鍵讓牠**坐下**。
1,six,You need **six** planks for a trapdoor.,你需要**六**塊木板來做活板門。
1,sky,Don't build too high into the **sky**.,不要蓋太高進到**天空**裡。
1,sun,Zombies burn in the **sun**.,殭屍在**太陽**下會燃燒。
2,air,You will lose **air** bubbles when you swim underwater.,當你在水下游泳時，你會失去**空氣**氣泡。
2,and,I have a sword **and** a shield.,我有一把劍**和**一個盾牌。
2,ant,There are no **ant** mobs in vanilla Minecraft.,原版 Minecraft 中沒有**螞蟻**生物。
2,apple,An **apple** sometimes drops from oak leaves.,**蘋果**有時會從橡樹葉掉落。
2,bee,A **bee** will poison you if you attack it.,如果你攻擊**蜜蜂**，牠會讓你中毒。
2,birthday,Notch's **birthday** is on June 1st.,Notch 的**生日**是六月一日。
2,black,Ink sacs are used to make **black** dye.,墨囊被用來製作**黑色**染料。
2,box,A Shulker **Box** acts like a backpack.,界伏**盒**的作用就像背包一樣。
2,brother,My **brother** and I play on a multiplayer server.,我**哥哥**和我在多人伺服器上玩。
2,brown,Cocoa beans make **brown** dye.,可可豆可以製作**棕色**染料。
2,busy,Bees are **busy** collecting pollen.,蜜蜂**忙著**採集花粉。
2,but,"I have diamonds, **but** no wood.",我有鑽石，**但是**沒有木頭。
2,cake,"You need milk, sugar, egg, and wheat to craft a **cake**.",你需要牛奶、糖、蛋和小麥來製作**蛋糕**。
2,candy,"There is no **candy**, but we have cookies.",這裡沒有**糖果**，但我們有餅乾。
2,cap,Steve does not wear a **cap** by default.,史蒂夫預設不戴**鴨舌帽**。
2,chair,Use stairs to make a **chair**.,使用階梯來製作**椅子**。
2,classmate,I invited my **classmate** to my Realm.,我邀請我的**同學**來我的領域(Realm)。
2,classroom,We built a **classroom** in the village for roleplay.,我們在村莊裡蓋了一間**教室**來玩角色扮演。
2,clock,A **clock** shows the time of day.,**時鐘**顯示一天的時間。
2,close,**Close** the door so zombies don't get in!,**關**上門，這樣殭屍才不會進來！
2,coffee,Some mods add **coffee** beans.,有些模組增加了**咖啡**豆。
2,cola,This potion looks like **cola**.,這瓶藥水看起來像**可樂**。
2,color,Wool comes in many different **color**s.,羊毛有很多種不同的**顏色**。
2,cow,You can get milk from a **cow** with a bucket.,你可以用桶子從**牛**身上取得牛奶。
2,cute,The baby fox is very **cute**.,這隻狐狸寶寶非常**可愛**。
2,day,Monsters burn during the **day**.,怪物在**白天**會燃燒。
2,dear,"**Dear** Steve, please bring me diamonds.",**親愛的**史蒂夫，請帶鑽石給我。
2,dirty,Coarse dirt looks like **dirty** ground.,砂土看起來像**髒**地面。
2,doll,A totem looks like a small **doll**.,圖騰看起來像一個小**玩偶**。
2,draw,Draw back your bow to shoot further.,**拉**開你的弓以射得更遠。(註: draw 亦有畫畫之意，但在遊戲操作常指拉弓)
2,eat,You must **eat** to regenerate health.,你必須**吃**東西來恢復生命值。
2,English,Change the language to **English** in settings.,在設定中將語言更改為**英文**。
2,father,The **father** villager protects the baby.,**父親**村民保護著嬰兒。
2,flower,Iron Golems give a **flower** to baby villagers.,鐵魔像會送**花**給小村民。
2,fox,A **fox** can hold an item in its mouth.,**狐狸**嘴裡可以叼著物品。
2,friendly,Wolves are **friendly** after you tame them.,狼在你馴服牠們之後是**友善的**。
2,frog,A **frog** can eat small slimes.,**青蛙**可以吃掉小的史萊姆。
2,fruit,Chorus **fruit** teleports you randomly.,紫頌**果**會隨機傳送你。
2,give,Please **give** me some food.,請**給**我一些食物。
2,glue,Slime balls are sticky like **glue**.,史萊姆球像**膠水**一樣黏。
2,gray,Use an ink sac and bonemeal to make **gray** dye.,使用墨囊和骨粉來製作**灰色**染料。
2,green,Cactus is **green** and hurts you.,仙人掌是**綠色的**而且會傷害你。
2,ham,Cooked porkchop looks like **ham**.,熟豬排看起來像**火腿**。
2,hello,Say **hello** in the chat.,在聊天欄說**哈囉**。
2,hen,A female chicken is called a **hen**.,母雞被稱為 **hen**。
2,hey,**Hey**! Don't steal my loot.,**嘿**！不要偷我的戰利品。
2,hi,Type **hi** to greet the server.,打 **hi** 來跟伺服器的人打招呼。
2,hippo,You need a mod to spawn a **hippo**.,你需要模組才能生成**河馬**。
2,its,The wolf shakes **its** fur when wet.,狼濕的時候會甩**牠的**毛。
2,old,Mossy Cobblestone makes the build look **old**.,青苔鵝卵石讓建築看起來很**舊**。
2,on,Put a torch **on** the wall.,把火把插**在**牆**上**。
2,pencil,"I don't have a **pencil**, only a quill.",我沒有**鉛筆**，只有羽毛筆。
2,picnic,Let's have a **picnic** in the flower forest.,我們在繁花森林來場**野餐**吧。
2,pink,The **pink** sheep is very rare.,**粉紅**羊非常稀有。
2,please,**Please** don't kill my dog.,**拜託**不要殺我的狗。
2,read,**Read** the enchanted book to see the spell.,**閱讀**附魔書來查看咒語。
2,real,This map looks just like the **real** world.,這張地圖看起來就像**真實**世界。
2,rice,There is no **rice** farming in vanilla Minecraft.,原版 Minecraft 中沒有種**稻米**。
2,ROC,I built the **ROC** flag with wool.,我用羊毛蓋了**中華民國**國旗。
2,ruler,Use coordinates as a **ruler** to measure distance.,使用座標當作**尺**來測量距離。
2,sandwich,Bread and steak make a pretend **sandwich**.,麵包加牛排做成假裝的**三明治**。
2,school,My friends and I built a **school**.,我和朋友蓋了一間**學校**。
2,sea,Guardians live in the **sea** temple.,深海守衛住在**海**底神殿裡。
2,see,I can **see** a village in the distance.,我可以**看見**遠處有一個村莊。
2,sheep,Shear the **sheep** to get wool.,修剪**羊**毛以獲得羊毛。
2,ship,Find the sunken **ship** for treasure.,尋找沈**船**來獲得寶藏。
2,shirt,Steve wears a blue **shirt**.,史蒂夫穿著一件藍色**襯衫**。
2,short,The day is too **short** to finish building.,白天太**短**了，無法完成建築。
2,shy,Ocelots are **shy** and run away.,豹貓很**害羞**，會逃跑。
2,sing,Parrots **sing** and dance to music discs.,鸚鵡會隨著唱片音樂**唱歌**跳舞。
2,singer,The parrot is a good **singer**.,鸚鵡是一個很好的**歌手**。
2,sister,My **sister** likes to farm crops.,我**妹妹**喜歡種植農作物。
2,slow,Soul Sand makes you walk **slow**.,靈魂砂讓你走得**慢**。
2,small,Baby zombies are **small** and fast.,小殭屍很**小**而且很快。
2,sofa,Use stairs and signs to make a **sofa**.,使用階梯和告示牌來製作**沙發**。
2,son,The baby zombie looks like the **son** of the zombie.,小殭屍看起來像殭屍的**兒子**。
2,song,Play a **song** on the jukebox.,在唱片機上放一首**歌**。
2,soup,Mushroom **soup** restores hunger.,蘑菇**湯**恢復飢餓值。
2,stand,Use an armor **stand** to hold your gear.,使用盔甲**架**來放你的裝備。
2,store,Build a **store** to trade with players.,蓋一間**商店**跟玩家交易。
2,student,I am a redstone **student**.,我是一個紅石**學生**。
2,study,**Study** the crafting recipes.,**研讀**合成配方。
2,table,Crafting **table** is essential.,工作**台**是必須的。
2,talk,"Villagers cannot **talk**, they only make sounds.",村民不會**說話**，他們只會發出聲音。
2,teacher,The librarian acts like a **teacher**.,圖書管理員表現得像一位**老師**。
2,thank,**Thank** you for the diamonds!,**謝謝**你的鑽石！
2,these,**These** boots are enchanted.,**這些**靴子有附魔。
2,those,**Those** phantoms are annoying.,**那些**幻翼很煩人。
2,toe,Be careful not to stub your **toe** on the bedrock.,小心不要踢到基岩傷了**腳趾**。
2,under,Dig **under** the ground.,挖到地**下**。
2,USA,Some servers are hosted in the **USA**.,有些伺服器架設在**美國**。
2,very,Obsidian is **very** hard to break.,黑曜石**非常**難破壞。
2,want,I **want** to tame a horse.,我**想要**馴服一匹馬。
2,wash,Cauldrons can **wash** dye off leather armor.,鍋釜可以洗**掉**皮革盔甲上的染料。
2,week,A Minecraft **week** is much faster than real life.,Minecraft 的一**週**比現實生活快得多。
2,white,Skeletons are **white**.,骷髏是**白色的**。
2,woman,Alex is a **woman** character.,艾力克斯是一個**女性**角色。
2,year,I have played this world for one **year**.,我玩這個世界一**年**了。
2,yellow,Gold ingots are **yellow**.,金錠是**黃色的**。
2,zoo,I collected all mobs to make a **zoo**.,我收集了所有生物來打造一個**動物園**。
3,a.m.,Monsters burn at 6 **a.m.** when the sun rises.,當早上六點太陽升起時，怪物會燃燒。
3,about,Think **about** your next build design.,思考**關於**你的下一個建築設計。
3,after,"**After** you mine the ore, smelt it.",在你挖掘礦石**之後**，將它熔煉。
3,afternoon,I usually farm crops in the **afternoon**.,我通常在**下午**種植農作物。
3,ago,I found this village three days **ago**.,我在三天**前**發現了這個村莊。
3,America,Captain **America** is a popular skin choice.,**美國**隊長是一個受歡迎的外觀選擇。
3,animal,Breed the **animal**s to get more food.,繁殖**動物**以獲得更多食物。
3,any,Do you have **any** wood left?,你還剩下**任何**木頭嗎？
3,ask,**Ask** the server admin for help.,**詢問**伺服器管理員尋求幫助。
3,autumn,The trees turn orange in an **autumn** texture pack.,在**秋天**材質包中，樹木會變成橘色。
3,bag,A bundle works like a small **bag**.,收納袋就像一個小**袋子**。
3,banana,There is no **banana** in the default game.,在預設遊戲中沒有**香蕉**。
3,beef,Cook raw **beef** to make steak.,烹飪生**牛肉**來製作牛排。
3,bicycle,You can build a fake **bicycle** with wool.,你可以用羊毛蓋一個假的**腳踏車**。
3,bike,Ride a pig like a **bike**.,像騎**腳踏車**一樣騎豬。
3,body,Armor covers your **body**.,盔甲覆蓋你的**身體**。
3,breakfast,Eat bread for **breakfast** in the game.,在遊戲中吃麵包當**早餐**。
3,chalk,Bedrock edition has **chalk** boards in Education mode.,基岩版的教育模式中有黑板(**粉筆**板)。
3,child,A zombie villager **child** is very dangerous.,殭屍村民**小孩**非常危險。
3,coat,The sheep has a thick **coat** of wool.,這隻羊有一層厚厚的羊毛**外衣**。
3,computer,I play Minecraft on my **computer**.,我用我的**電腦**玩 Minecraft。
3,cookie,Craft a **cookie** with cocoa beans and wheat.,用可可豆和小麥製作**餅乾**。
3,cooky,A **cooky** restores very little hunger.,**餅乾**恢復非常少的飢餓值。
3,cry,Obsidian creates a **cry**ing sound when placed.,(註：原文Crying Obsidian為哭泣黑曜石) 哭泣黑曜石會發出**哭泣**聲。
3,dad,My **dad** helps me mine diamonds.,我**爸爸**幫我挖鑽石。
3,daddy,"Look **daddy**, I built a house!",看**爸爸**，我蓋了一間房子！
3,dance,Parrots **dance** near a jukebox.,鸚鵡會在唱片機附近**跳舞**。
3,die,"If you fall into the void, you will **die**.",如果你掉進虛空，你會**死**。
3,dining room,Put a table and chairs in the **dining room**.,在**飯廳**放一張桌子和椅子。
3,dinner,We are having roast chicken for **dinner**.,我們**晚餐**吃烤雞。
3,dollar,"Villagers trade emeralds, not a **dollar**.",村民交易綠寶石，不是**美金**。
3,down,Dig **down** carefully.,小心地往**下**挖。
3,dress,You can customize your skin's **dress**.,你可以自訂你皮膚的**洋裝**。
3,drink,**Drink** a potion of healing.,**喝**一瓶治療藥水。
3,drive,You can **drive** a boat on ice very fast.,你可以在冰上非常快地**駕駛**船。
3,dry,"A sponge becomes wet, not **dry**, in water.",海綿在水裡會變濕，不是**乾的**。
3,duck,A chicken looks like a **duck** when swimming.,雞在游泳時看起來像**鴨子**。
3,elephant,Mods can add an **elephant** to the game.,模組可以把**大象**加進遊戲裡。
3,eleven,Music Disc **11** is very scary.,音樂唱片 **11** 號非常可怕。
3,eraser,Use the /kill command as a mob **eraser**.,使用 /kill 指令當作生物**橡皮擦**。
3,evening,The sun sets in the **evening**.,太陽在**傍晚**下山。
3,every,Check **every** chest for loot.,檢查**每一個**箱子裡的戰利品。
3,family,Villagers live together like a **family**.,村民像**家庭**一樣住在一起。
3,feel,I **feel** safe inside my base.,在我的基地裡我**覺得**安全。
3,fly,Use elytra to **fly** in survival mode.,在生存模式中使用鞘翅來**飛行**。
3,friend,Do not hit your **friend**.,不要打你的**朋友**。
3,good-bye,Say **good-bye** before logging off.,登出前說**再見**。
3,hair,Endermen have no **hair**.,終界使者沒有**頭髮**。
3,hand,Hold a torch in your off **hand**.,在你的副**手**拿著火把。
3,hat,Wear a leather **hat** (helmet).,戴上一頂皮革**帽**(頭盔)。
3,head,A zombie **head** can be worn as a mask.,殭屍**頭**顱可以當作面具戴。
3,help,Iron Golems **help** defend the village.,鐵魔像**幫忙**防衛村莊。
3,horse,You need a saddle to ride a **horse**.,你需要一個鞍來騎**馬**。
3,hot dog,"There is no **hot dog**, only cooked porkchop.",沒有**熱狗**，只有熟豬排。
3,hour,One real **hour** is three Minecraft days.,現實的一**小時**是 Minecraft 的三天。
3,house,Build a dirt **house** for the first night.,第一晚蓋一間泥土**房子**。
3,hungry,Running makes you **hungry** faster.,跑步讓你餓得更**快**。
3,ice,Walking on **ice** is slippery.,走在**冰**上很滑。
3,ice cream,We pretend snowballs are **ice cream**.,我們假裝雪球是**冰淇淋**。
3,into,Don't fall **into** the lava.,不要掉**進**岩漿裡。
3,invite,**Invite** players to your team.,**邀請**玩家加入你的隊伍。
3,join,**Join** the server to play.,**加入**伺服器開始遊玩。
3,juice,Sweet berries look like they have **juice**.,甜莓果看起來像有**果汁**。
3,kick,The admin can **kick** bad players.,管理員可以**踢**出不好的玩家。
3,kiss,Villagers appear to **kiss** when breeding.,村民繁殖時看起來像在**親吻**。
3,kitchen,Put a furnace and smoker in the **kitchen**.,在**廚房**放熔爐和煙燻爐。
3,kite,A phantom flies like a **kite**.,幻翼飛起來像個**風箏**。
3,learn,**Learn** how to use redstone.,**學習**如何使用紅石。
3,money,Emeralds are the **money** of villagers.,綠寶石是村民的**錢**。
3,morning,Sleep until **morning**.,睡覺直到**早晨**。
3,need,I **need** three wool to make a bed.,我**需要**三個羊毛來做一張床。
3,o'clock,It is 12 **o'clock** noon in the game.,現在是遊戲中的中午十二**點鐘**。
3,p.m.,Sunset is around 6 **p.m.**.,日落大約在下午六**點**。
3,really,This texture pack is **really** cool.,這個材質包**真**酷。
3,salt,Some mods add **salt** ore.,有些模組增加了**鹽**礦。
3,sleep,You can only **sleep** during thunderstorms.,你只能在雷雨天(或晚上)**睡覺**。
3,spell,An enchanting table gives a magic **spell**.,附魔台給予魔法**咒語**。
3,star,The Nether **Star** is dropped by the Wither.,下界之**星**由凋靈掉落。
3,start,**Start** mining a tree first.,**開始**先挖一棵樹。
3,telephone,Note blocks can sound like a **telephone**.,音符盒聽起來可以像**電話**。
3,phone,I don't have a **phone** in game.,我在遊戲裡沒有**電話**。
3,there,Go over **there** to the mountain.,去**那邊**的那座山。
3,together,Let's build a castle **together**.,我們**一起**蓋一座城堡吧。
3,train,Link minecarts to make a **train**.,連接礦車來做成一列**火車**。
3,trip,Pack food for your mining **trip**.,為你的挖礦**旅程**打包食物。
3,truck,This minecart with chest looks like a **truck**.,這個箱子礦車看起來像一台**卡車**。
3,try,**Try** to jump over the ravine.,**嘗試**跳過這個峽谷。
3,up,Build **up** to the sky limit.,往**上**蓋到天空高度限制。
3,wait,**Wait** for the wheat to grow.,**等待**小麥生長。
3,wear,**Wear** gold armor in the Nether.,在下界**穿**金盔甲。
3,weather,Clear the **weather** with a command.,用指令清除**天氣**。
3,when,**When** do we fight the dragon?,我們**何時**去打龍？
3,where,**Where** is your respawn point?,你的重生點在**哪裡**？
3,why,**Why** did the creeper explode?,**為什麼**苦力怕爆炸了？
3,with,Cut the wood **with** an axe.,**用**斧頭砍木頭。
3,word,Type a **word** on the sign.,在告示牌上打一個**字**。
3,work,The villagers **work** at their stations.,村民在他們的工作站**工作**。
3,worker,The librarian is a hard **worker**.,圖書管理員是一個努力的**工作者**。
3,write,**Write** a story in the book and quill.,在書與筆中**寫**一個故事。
3,yesterday,I tamed a cat **yesterday**.,我**昨天**馴服了一隻貓。
3,zero,The coordinate is at level **zero**.,座標在高度**零**。
3,true,It is **true** that Herobrine is a myth.,Herobrine 是一個傳說這件事是**真的**。
4,be,Be careful near the ravine.,在峽谷附近要小心。
4,bookstore,The librarian villager works in a **bookstore**.,圖書管理員村民在**書店**工作。
4,bread,Three wheat make one **bread**.,三個小麥做成一個**麵包**。
4,buy,**Buy** diamond tools from the smith.,跟鐵匠**買**鑽石工具。
4,cellphone,"We use chat, not a **cellphone**, to talk.",我們用聊天欄，不是用**手機**，來交談。
4,city,Explore the Ancient **City** deep underground.,探索深埋地下的遠古**城市**。
4,date,Check the F3 screen for the game **date**.,查看 F3 螢幕上的遊戲**日期** (天數)。
4,dig,**Dig** straight down is dangerous.,垂直往于**挖**是危險的。
4,dish,Mushroom stew is a tasty **dish**.,蘑菇煲是一道好吃的**菜餚**。
4,does,**Does** the villager have Mending?,這個村民**有**修補附魔嗎？
4,eighteen,Experience level **eighteen** is low.,經驗等級**十八**算低的。
4,eighty,I have **eighty** iron ingots.,我有**八十**個鐵錠。
4,even,Make the wall **even** on both sides.,讓兩邊的牆壁**平整**。
4,fall,Feather Falling boots reduce **fall** damage.,羽落靴子減少**墜落**傷害。
4,feed,**Feed** wheat to the cows to breed them.,**餵**牛吃小麥來繁殖牠們。
4,fifteen,Redstone signal goes **fifteen** blocks.,紅石訊號傳遞**十五**格。
4,fifty,Y level **fifty** is deep underground.,Y 軸高度**五十**是在地底深處。
4,forty,I mined **forty** gold ore.,我挖了**四十**個金礦。
4,fourteen,Obsidian takes **fourteen** seconds to mine by hand.,(註：大約時間) 用手挖黑曜石需要**十四**秒。
4,from,This loot is **from** a dungeon.,這戰利品是**來自**地牢。
4,grandfather,This old map belongs to my **grandfather**.,這張舊地圖屬於我的**祖父**。
4,grandpa,Grandpa** plays Minecraft with me.,**爺爺**跟我一起玩 Minecraft。
4,grandmother,The witch looks like a scary **grandmother**.,女巫看起來像個可怕的**祖母**。
4,grandma,I built a garden for **grandma**.,我為**奶奶**蓋了一座花園。
4,homework,Finish your **homework** before playing.,玩遊戲前先完成你的**功課**。
4,long,The grass is too **long** here.,這裡的草太**長**了。
4,movie,We are making a Minecraft **movie**.,我們正在製作一部 Minecraft **電影**。
4,never,**Never** look an Enderman in the eyes.,**絕不**要看終界使者的眼睛。
4,news,The update **news** is exciting.,更新**新聞**令人興奮。
4,newspaper,Map art can look like a **newspaper**.,地圖畫可以看起來像一份**報紙**。
4,nineteen,I have **nineteen** arrows left.,我剩下**十九**支箭。
4,ninety,The tower is **ninety** blocks tall.,這座塔有**九十**格高。
4,of,A stack **of** wood is 64.,一組木頭**是** 64 個。
4,office,I built an **office** for my villagers.,我為我的村民蓋了一間**辦公室**。
4,out,Get **out** of the water!,從水裡**出**來！
4,page,Turn the **page** of the lectern book.,翻**頁**講台上的書。
4,paper,Sugar cane is used to make **paper**.,甘蔗被用來製作**紙**。
4,part,Redstone is a hard **part** of the game.,紅石是遊戲中困難的**部分**。
4,pay,You must **pay** emeralds for the trade.,你必須**付**綠寶石來交易。
4,pork,Raw **pork** chop comes from pigs.,生**豬肉**排來自豬。
4,restaurant,Let's build a **restaurant** in the city.,我們在城市裡蓋一間**餐廳**吧。
4,road,Follow the gravel **road** to the village.,沿著礫石**路**走到村莊。
4,salad,"There is no **salad**, just soup.",這裡沒有**沙拉**，只有湯。
4,same,All creepers look the **same**.,所有的苦力怕看起來都**一樣**。
4,season,Mods can add a **season** change like winter.,模組可以增加像冬天這樣的**季節**變化。
4,send,**Send** a message in the chat.,在聊天欄**傳送**訊息。
4,seventeen,I found **seventeen** diamonds today.,我今天找到了**十七**顆鑽石。
4,seventy,I need **seventy** levels to enchant this.,我需要**七十**等來附魔這個。
4,sir,"Yes **sir**, I will mine the stone.",是的**長官**，我會去挖石頭。
4,sixteen,Snowballs stack to **sixteen**.,雪球堆疊上限是**十六**。
4,sixty,One minute is **sixty** seconds.,一分鐘是**六十**秒。
4,size,Slimes come in three **size**s.,史萊姆有三種**大小**。
4,skirt,You can draw a **skirt** on your skin.,你可以在你的皮膚上畫一條**裙子**。
4,smart,Villagers are not very **smart**.,村民不是很**聰明**。
4,smell,The Warden can **smell** you.,伏守者可以**聞**到你。
4,snack,Dried kelp is a quick **snack**.,海帶乾是一種快速的**點心**。
4,snake,Silverfish move like a **snake**.,蠹魚移動起來像一條**蛇**。
4,snow,Powder **snow** can freeze you.,細**雪**會讓你結凍。
4,so,The lava is **so** hot.,岩漿**好**熱。
4,soccer,Push the slime ball like **soccer**.,像踢**足球**一樣推史萊姆球。
4,socks,Boots are like hard **socks**.,靴子就像硬的**襪子**。
4,some,I need **some** coal for torches.,我需要**一些**煤炭做火把。
4,soon,Night is coming **soon**.,夜晚**很快**就要來了。
4,sound,Note blocks make a musical **sound**.,音符盒發出音樂的**聲音**。
4,speak,Villagers don't **speak** English.,村民不**說**英文。
4,sports,PvP is like e-**sports**.,玩家對戰就像電子**競技**。
4,spring,Flowers bloom in the **spring**.,花在**春天**盛開。
4,station,Go to the brewing **station**.,去釀造**台**(站)。
4,stay,**Stay** inside at night.,晚上**待**在裡面。
4,steak,**Steak** fills the hunger bar well.,**牛排**能很好地填補飢餓條。
4,still,Stand **still** so I can heal you.,站著**不動**讓我治療你。
4,stop,**Stop** the water with a block.,用方塊**停止**水流。
4,street,Light up the **street** with lamps.,用燈照亮**街道**。
4,strong,Netherite armor is very **strong**.,安山岩(誤: 應為獄髓)盔甲非常**強壯**。(修正: 獄髓 Netherite)
4,sugar,**Sugar** is used for speed potions.,**糖**被用來做速度藥水。
4,summer,Deserts feel like endless **summer**.,沙漠感覺像無盡的**夏天**。
4,sunny,I like clear **sunny** weather.,我喜歡晴朗的**豔陽**天氣。
4,supermarket,The trading hall is like a **supermarket**.,交易大廳就像一間**超市**。
4,sure,Are you **sure** you have the map?,你**確定**你有地圖嗎？
